id,name,neighbourhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_is_superhost,instant_bookable
90676,Short North - Italianate Cottage,Neighborhood highlights,39.98366,-83.00252,Entire home/apt,Entire home,128,1,868,5.11,155,t,f
591101,Bellows Studio Loft  Apartment,Neighborhood highlights,39.96041,-82.98005,Private room,Private room in loft,112,2,342,2.14,339,t,f
927867,Full Private Room at the Hostel,Neighborhood highlights,40.01259,-83.00164,Private room,Private room in hostel,105,1,82,0.56,292,f,f
1183297,Hannah's Haus**Prime location in German Village**,Neighborhood highlights,39.95164,-82.99434,Entire home/apt,Entire home,253,30,87,1.8,288,t,f
1217678,Comfortable rooms in Clintonville 1,Neighborhood highlights,40.03869,-83.01728,Private room,Private room in home,74,1,283,1.9,342,t,f
1286887,"The Red Stable German Village Airbnb, entire home!",Neighborhood highlights,39.94548,-82.99245,Entire home/apt,Entire home,181,3,196,1.33,269,t,f
1321192,Downtown! Beautiful Historic Old Oaks Home!,Neighborhood highlights,39.95288,-82.96715,Entire home/apt,Entire home,270,1,68,0.47,352,f,f
1336145,Comfortable rooms in Clintonville 2,Neighborhood highlights,40.0369,-83.01677,Private room,Private room in home,74,1,223,1.52,349,t,f
2134901,Terrific Apt just south of OSU,Neighborhood highlights,39.98744,-83.01632,Entire home/apt,Entire rental unit,150,30,35,0.25,279,t,f
2172026,Mid-Century Sweet Little Apartment,Neighborhood highlights,39.98576,-83.01092,Entire home/apt,Entire rental unit,155,30,42,0.3,40,t,f
2227278,German Village Getaway,Neighborhood highlights,39.94092,-82.98748,Entire home/apt,Entire home,258,3,4,0.04,291,f,f
2262958,Great apartment with extra rooms,Neighborhood highlights,39.98675,-83.01279,Entire home/apt,Entire rental unit,186,30,46,0.34,287,t,f
2349920,Eclectic Short North Escape. FREE Parking!,Neighborhood highlights,39.98596,-83.00282,Entire home/apt,Entire home,206,2,231,1.63,324,f,f
3193181,LUXURY LIVING on a budget,Neighborhood highlights,40.00681,-82.9734,Entire home/apt,Entire rental unit,70,30,163,1.18,60,t,f
3731977,Relaxation Near Easton + Theater Room!,Neighborhood highlights,40.08947,-82.88701,Private room,Private room in home,56,30,60,0.48,273,t,f
3750603,Private bedroom downtown! Historic Old Oaks,Neighborhood highlights,39.95175,-82.96688,Private room,Private room in home,72,1,21,0.15,10,f,f
3940646,The Manor-  3rd FL. Loft Apt. - Close to Downtown,Neighborhood highlights,39.9659,-82.97557,Entire home/apt,Entire rental unit,80,1,567,5.52,213,t,f
3975468,"Serial Entrepreneur-Ship (""S.E.S"")",Neighborhood highlights,40.00709,-82.97442,Private room,Private room in rental unit,60,30,68,0.51,90,t,f
4679761,King Private Room at the Hostel,Neighborhood highlights,40.01257,-83.00159,Private room,Private room in hostel,116,1,87,0.77,279,f,f
5297763,Family Friendly + Fairground/OSU + K9s Welcome,Neighborhood highlights,39.98849,-83.00129,Entire home/apt,Entire townhouse,114,2,491,3.91,241,t,f
5820556,Pet Friendly Ext Stay Short North/OSU!,Neighborhood highlights,39.98992,-83.00427,Entire home/apt,Entire condo,130,5,171,1.35,350,f,f
6214751,1 Bedroom Lower Level Apartment,Neighborhood highlights,39.96606,-82.96446,Entire home/apt,Entire rental unit,83,1,137,1.09,9,f,f
6391158,"Your  Home in Columbus ,Ohio 43230",Neighborhood highlights,40.0636,-82.8546,Private room,Private room in home,60,1,259,2.06,361,t,f
6416756,Your home in Columbus 43230,Neighborhood highlights,40.06335,-82.85319,Private room,Private room in villa,69,1,214,1.71,360,t,f
6624355,Artist paradise by the River,Neighborhood highlights,40.02752,-83.02348,Entire home/apt,Entire home,76,1,108,0.93,332,t,f
6805322,The Short S.T.O.P.P,Neighborhood highlights,40.00632,-82.97504,Shared room,Shared room in rental unit,43,30,47,0.38,90,t,f
6883920,SERENITY in NW Columbus!,Neighborhood highlights,40.06479,-83.12121,Entire home/apt,Entire bungalow,267,2,86,0.69,346,t,f
6924472,Quiet 3rd Flr Room Blocks to OSU Campus+Med Center,Neighborhood highlights,39.99228,-83.01179,Private room,Private room in home,56,1,455,3.81,354,t,t
7061726,Fairground/OSU + K9s Welcome | Family Friendly,Neighborhood highlights,39.9883,-83.00101,Entire home/apt,Entire townhouse,131,2,495,3.99,253,t,f
7474783,Private Bedroom/Bathroom Close to Downtown,Neighborhood highlights,39.96348,-82.9519,Private room,Private room in home,71,1,182,4.29,334,t,f
7564891,Tulsa #3 Nicely Priced Bedroom,Neighborhood highlights,40.06467,-82.98839,Private room,Private room in home,26,30,16,0.13,165,f,f
7617016,Tulsa #1 Shared House Master Bedroom,Neighborhood highlights,40.06467,-82.98839,Private room,Private room in home,29,30,21,0.17,171,f,f
7637541,Tulsa #4 Nicely Priced Bedroom,Neighborhood highlights,40.06466,-82.98839,Private room,Private room in home,26,30,20,0.18,176,f,f
7771588,1BR Apt. on Clintonville Ravine,Neighborhood highlights,40.0195,-83.00268,Entire home/apt,Entire rental unit,89,3,177,1.47,49,t,f
8507146,Tulsa #6 Nicely Priced Bedroom,Neighborhood highlights,40.06467,-82.98839,Private room,Private room in home,26,30,22,0.2,179,f,f
8578379,Beautiful Olde Towne East Home close to Downtown,Neighborhood highlights,39.96192,-82.97329,Private room,Private room in home,35,1,893,7.35,290,t,f
8688424,Fabulous private apartment inside beautiful home,Neighborhood highlights,40.06375,-83.10037,Entire home/apt,Entire rental unit,108,2,142,1.17,356,t,f
9169196,Victorian Home in the Short North/OSU,Neighborhood highlights,39.98942,-83.00859,Entire home/apt,Entire home,209,2,72,0.67,49,t,f
9561460,Map Room - Olde Towne/Franklin Park-Historic,Neighborhood highlights,39.96034463228328,-82.95054054,Private room,Private room in home,82,1,807,6.79,356,t,f
10016466,Modern Industrial Loft Space Fully Renovated,Neighborhood highlights,39.98234,-83.02128,Entire home/apt,Entire guest suite,320,2,105,0.88,90,f,f
10383297,East Columbus Suburbs with private bath,Neighborhood highlights,39.9993,-82.78244,Private room,Private room in home,41,1,609,5.18,342,t,f
10613716,Pet-friendly 4BD/2B 1/2 Duplex by Downtown/OTE,Neighborhood highlights,39.96971,-82.9764,Entire home/apt,Entire home,147,2,40,1.02,166,t,f
11047105,Garden Manor Guest House Air BnB,Neighborhood highlights,39.96722,-82.97345,Entire home/apt,Entire guesthouse,136,2,293,2.5,111,t,f
12631194,K9s Welcome-Fairground/OSU-Parking,Neighborhood highlights,39.98713,-83.00227,Entire home/apt,Entire townhouse,123,2,494,4.42,247,t,f
12737365,Private Bedroom and Bath in Dublin/Hilliard Ohio,Neighborhood highlights,40.0599,-83.11814,Private room,Private room in home,74,1,696,6.15,350,t,f
12751583,Heart of Olde Towne East Loft,Neighborhood highlights,39.96298,-82.97759,Entire home/apt,Entire condo,191,1,365,3.24,159,t,f
12755075,Quaint 1920s Townhouse,Neighborhood highlights,39.92877,-82.9928,Entire home/apt,Entire townhouse,55,1,183,1.63,335,t,f
12972937,Historic German Village Apartment,Neighborhood highlights,39.95,-82.99665,Entire home/apt,Entire rental unit,225,2,68,0.6,362,f,f
13045810,Perfect for couples get away or singles traveling,Neighborhood highlights,40.09965,-82.97282,Private room,Private room in home,52,1,499,5.05,315,t,f
13083807,OSU #B-3 Great Place!,Neighborhood highlights,40.00381,-82.99725,Private room,Private room in rental unit,27,30,7,0.29,179,f,f
13223833,Welcome! Share my home on Columbus's Westside :),Neighborhood highlights,40.00983,-83.14662,Private room,Private room in condo,52,4,129,1.15,336,t,f
13994248,"Rustic Townhouse by Mapfre, Osu, Short North & Downtown",Neighborhood highlights,40.0186,-82.99732,Entire home/apt,Entire townhouse,180,2,324,2.94,328,t,f
14042295,Short North Carriage House,Neighborhood highlights,39.98457,-83.00239,Entire home/apt,Entire guesthouse,103,1,997,9.06,151,t,f
14245905,Stunning Creek Front Retreat - Water Views - 2BR,Neighborhood highlights,39.97061,-82.94977,Entire home/apt,Entire guesthouse,126,1,184,1.91,179,t,f
14356430,Cozy private bedroom-Monthly welcome,Neighborhood highlights,39.97412,-82.94917,Private room,Private room in home,29,30,54,0.54,248,t,t
14401125,Lower level Studio Apt in residential home,Neighborhood highlights,39.90443,-82.98702,Private room,Private room in home,37,30,11,0.27,328,f,f
14716920,"""Quiet Neighborhood, 10 min to the airport""",Neighborhood highlights,40.0719,-82.91689,Entire home/apt,Entire home,81,1,60,0.55,74,f,f
14901086,Sweet little room/calm neighborhood,Neighborhood highlights,40.102318,-82.979515,Private room,Private room in home,42,3,280,2.79,52,t,f
14928551,Fairground/OSU | K9s Welcome | Large Group Stay,Neighborhood highlights,40.0048,-82.99963,Entire home/apt,Entire townhouse,152,2,242,2.23,258,t,f
14949691,Beautiful spacious suite with gym.,Neighborhood highlights,39.98189,-82.99833,Private room,Private room in home,77,2,272,2.48,334,t,f
